Country,Year,Health Expenditure,Life Expectancy,GDP Per Capita,LOCATION
Ireland,1970,115.833,71.2,106659.463928,IRL
Ireland,1978,342.642,71.5,106659.463928,IRL
Ireland,1979,395.014,72.3,106659.463928,IRL
Ireland,1980,475.486,72.9,106659.463928,IRL
Ireland,1981,491.625,72.9,106659.463928,IRL
Ireland,1982,516.647,72.9,106659.463928,IRL
Ireland,1985,606.567,73.4,106659.463928,IRL
Ireland,1986,620.319,73.5,106659.463928,IRL
Ireland,1987,639.514,74.3,106659.463928,IRL
Ireland,1988,663.947,74.4,106659.463928,IRL
Ireland,1989,701.046,74.4,106659.463928,IRL
Ireland,1990,752.033,74.8,106659.463928,IRL
Ireland,1991,839.708,75.0,106659.463928,IRL
Ireland,1992,919.418,75.4,106659.463928,IRL
Ireland,1993,992.766,75.3,106659.463928,IRL
Ireland,1994,1040.844,75.8,106659.463928,IRL
Ireland,1995,1130.502,75.5,106659.463928,IRL
Ireland,1996,1185.72,75.8,106659.463928,IRL
Ireland,1997,1288.49,76.0,106659.463928,IRL
Ireland,1998,1395.603,76.2,106659.463928,IRL
Ireland,1999,1498.298,76.1,106659.463928,IRL
Ireland,2000,1829.789,76.6,106659.463928,IRL
Ireland,2001,2134.358,77.2,106659.463928,IRL
Ireland,2002,2418.861,77.7,106659.463928,IRL
Ireland,2003,2578.802,78.2,106659.463928,IRL
Ireland,2004,2804.828,78.6,106659.463928,IRL
Ireland,2005,3093.376,79.0,106659.463928,IRL
Ireland,2006,3204.805,79.3,106659.463928,IRL
Ireland,2007,3384.221,79.7,106659.463928,IRL
Ireland,2008,3643.273,80.2,106659.463928,IRL
Ireland,2009,3855.118,80.2,106659.463928,IRL
Ireland,2010,4050.987,80.8,106659.463928,IRL
Ireland,2011,4197.569,80.9,106659.463928,IRL
Ireland,2012,4358.936,80.9,106659.463928,IRL
Ireland,2013,4299.899,81.0,106659.463928,IRL
Ireland,2014,4196.666,81.4,106659.463928,IRL
Ireland,2015,4295.464,81.5,106659.463928,IRL
Ireland,2016,4536.748,81.7,106659.463928,IRL
Ireland,2017,4683.366,82.2,106659.463928,IRL
Ireland,2018,4870.689,82.2,106659.463928,IRL
Ireland,2019,4947.222,82.8,106659.463928,IRL
Ireland,2020,5372.814,82.6,106659.463928,IRL
Italy,1988,1052.784,76.5,45902.22894,ITA
Italy,1989,1122.547,77.0,45902.22894,ITA
Italy,1990,1274.024,77.1,45902.22894,ITA
Italy,1991,1387.471,77.1,45902.22894,ITA
Italy,1992,1403.629,77.5,45902.22894,ITA
Italy,1993,1398.26,77.8,45902.22894,ITA
Italy,1994,1413.011,78.0,45902.22894,ITA
Italy,1995,1464.822,78.3,45902.22894,ITA
Italy,1996,1528.904,78.7,45902.22894,ITA
Italy,1997,1651.791,79.0,45902.22894,ITA
Italy,1998,1736.633,79.1,45902.22894,ITA
Italy,1999,1802.03,79.6,45902.22894,ITA
Italy,2000,2030.535,79.9,45902.22894,ITA
Italy,2001,2151.727,80.3,45902.22894,ITA
Italy,2002,2292.714,80.4,45902.22894,ITA
Italy,2003,2289.348,80.1,45902.22894,ITA
Italy,2004,2451.044,80.9,45902.22894,ITA
Italy,2005,2504.099,80.9,45902.22894,ITA
Italy,2006,2662.499,81.4,45902.22894,ITA
Italy,2007,2695.633,81.6,45902.22894,ITA
Italy,2008,2932.455,81.7,45902.22894,ITA
Italy,2009,2937.493,81.8,45902.22894,ITA
Italy,2010,3104.465,82.2,45902.22894,ITA
Italy,2011,3098.256,82.4,45902.22894,ITA
Italy,2012,3071.61,82.4,45902.22894,ITA
Italy,2013,3042.931,82.9,45902.22894,ITA
Italy,2014,3036.86,83.2,45902.22894,ITA
Italy,2015,3088.931,82.7,45902.22894,ITA
Italy,2016,3274.024,83.4,45902.22894,ITA
Italy,2017,3376.084,83.1,45902.22894,ITA
Italy,2018,3495.868,83.4,45902.22894,ITA
Italy,2019,3565.301,83.6,45902.22894,ITA
Italy,2020,3747.172,82.3,45902.22894,ITA
Italy,2021,4037.787,82.9,45902.22894,ITA
Korea,1987,206.809,70.1,46731.416375,KOR
Korea,1988,250.267,70.7,46731.416375,KOR
Korea,1989,316.146,71.2,46731.416375,KOR
Korea,1990,355.831,71.7,46731.416375,KOR
Korea,1991,378.036,72.2,46731.416375,KOR
Korea,1992,418.789,72.6,46731.416375,KOR
Korea,1993,442.195,73.1,46731.416375,KOR
Korea,1994,464.971,73.5,46731.416375,KOR
Korea,1995,515.771,73.8,46731.416375,KOR
Korea,1996,575.658,74.2,46731.416375,KOR
Korea,1997,599.675,74.7,46731.416375,KOR
Korea,1998,580.989,75.1,46731.416375,KOR
Korea,1999,662.546,75.5,46731.416375,KOR
Korea,2000,725.087,76.0,46731.416375,KOR
Korea,2001,861.262,76.5,46731.416375,KOR
Korea,2002,886.304,76.8,46731.416375,KOR
Korea,2003,973.222,77.3,46731.416375,KOR
Korea,2004,1033.444,77.8,46731.416375,KOR
Korea,2005,1134.304,78.2,46731.416375,KOR
Korea,2006,1276.73,78.8,46731.416375,KOR
Korea,2007,1435.186,79.2,46731.416375,KOR
Korea,2008,1556.157,79.6,46731.416375,KOR
Korea,2009,1684.344,80.0,46731.416375,KOR
Korea,2010,1878.132,80.2,46731.416375,KOR
Korea,2011,1966.703,80.6,46731.416375,KOR
Korea,2012,2071.546,80.9,46731.416375,KOR
Korea,2013,2129.162,81.4,46731.416375,KOR
Korea,2014,2233.19,81.8,46731.416375,KOR
Korea,2015,2491.691,82.1,46731.416375,KOR
Korea,2016,2664.734,82.4,46731.416375,KOR
Korea,2017,2802.355,82.7,46731.416375,KOR
